,FilingDate,TradeDate,Ticker,Company,Name,Role,TradeType,Share Price,NoShares,DollarAmount,PercentChange,DollarIncrease,
,10/09/2020 17:43,10/09/2020,CLDT,Chatham Lodging Trust,Fisher Jeffrey H,"COB, Pres, CEO",P - Purchase,$7.62,45000,821645,6%,"+$342,900",
,11/09/2020 16:12,10/09/2020,PFS,Provident Financial Services Inc,Martin Christopher P,"COB, CEO",P - Purchase,$12.78,25000,602568,4%,"+$319,438",
,11/09/2020 20:03,10/09/2020,OFG,Ofg Bancorp,Fernandez Jose Rafael,"Pres, CEO",P - Purchase,$12.88,20152,37152,119%,"+$259,462",
D,09/09/2020 16:53,09/09/2020,RCUS,"Arcus Biosciences, Inc.",Goeltz II Robert C.,CFO,P - Purchase,$21.57,5000,5000,New,"+$107,849",
,10/09/2020 14:31,09/09/2020,SMBC,"Southern Missouri Bancorp, Inc.",Funke Matthew T,"EVP, CFO",P - Purchase,$24.43,1072,52620,2%,"+$26,185",
D,10/09/2020 16:16,09/09/2020,GVP,Gse Systems Inc,Loudermilk Kyle Justin,"CEO, Pres",P - Purchase,$0.96,50000,600565,9%,"+$47,945",
M,10/09/2020 21:10,09/09/2020,AMEH,"Apollo Medical Holdings, Inc.",Sim Kenneth T.,"Exec COB, Co-CEO",P - Purchase,$17.60,5000,19193751,0%,"+$88,000",
,10/09/2020 21:25,09/09/2020,AMEH,"Apollo Medical Holdings, Inc.",Lam Thomas S.,"Pres, Co-CEO",P - Purchase,$17.85,5000,19183429,0%,"+$89,250",
D,08/09/2020 16:43,08/09/2020,EPD,Enterprise Products Partners L.P.,Teague Aj,Co-CEO,P - Purchase,$17.03,10000,2052253,0%,"+$170,290",
,08/09/2020 18:06,08/09/2020,VST,Vistra Corp.,Morgan Curtis A,"Pres, CEO",P - Purchase,$18.19,41176,444759,10%,"+$748,786",
D,08/09/2020 19:15,08/09/2020,VST,Vistra Corp.,Morgan Curtis A,"Pres, CEO",P - Purchase,$18.19,41176,444759,10%,"+$748,786",
D,08/09/2020 20:01,08/09/2020,VYNE,Vyne Therapeutics Inc.,Saik Andrew,CFO,P - Purchase,$1.46,40000,340000,13%,"+$58,480",
,08/09/2020 20:00,08/09/2020,VYNE,Vyne Therapeutics Inc.,Domzalski David,"Pres, CEO",P - Purchase,$1.38,75000,1315966,6%,"+$103,568",
,09/09/2020 17:05,08/09/2020,RILY,"B. Riley Financial, Inc.",Riley Bryant R,"COB, Co-CEO, 10%",P - Purchase,$25.59,1224,4970082,0%,"+$31,328",
A,09/09/2020 18:11,08/09/2020,SMBC,"Southern Missouri Bancorp, Inc.",Funke Matthew T,"EVP, CFO",P - Purchase,$24.48,1074,51548,2%,"+$26,300",
,04/09/2020 11:21,04/09/2020,CCNE,Cnb Financial Corp/pa,Lima Tito L,"EVP, CFO",P - Purchase,$16.20,5723,7230,380%,"+$92,713",
